id,name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
0,11 Comae Berenices b,304,4.72307,Gas Giant,2007,19.4,Jupiter,1.08,Jupiter,1.29,0.8925394,0.23,Radial Velocity
1,11 Ursae Minoris b,409,5.013,Gas Giant,2009,14.74,Jupiter,1.09,Jupiter,1.53,1.4,0.08,Radial Velocity
2,14 Andromedae b,246,5.23133,Gas Giant,2008,4.8,Jupiter,1.15,Jupiter,0.83,0.5086927,0,Radial Velocity
3,14 Herculis b,58,6.61935,Gas Giant,2002,8.13881,Jupiter,1.12,Jupiter,2.773069,4.8,0.37,Radial Velocity
4,16 Cygni B b,69,6.215,Gas Giant,1996,1.78,Jupiter,1.2,Jupiter,1.66,2.2,0.68,Radial Velocity
5,17 Scorpii b,408,5.22606,Gas Giant,2020,4.32,Jupiter,1.15,Jupiter,1.45,1.6,0.06,Radial Velocity
6,18 Delphini b,249,5.51048,Gas Giant,2008,10.3,Jupiter,1.11,Jupiter,2.6,2.7,0.08,Radial Velocity
7,1RXS J160929.1-210524 b,454,12.618,Gas Giant,2008,8,Jupiter,1.664,Jupiter,330,6505.9,0,Direct Imaging
8,24 Bootis b,313,5.59,Gas Giant,2018,0.91,Jupiter,1.24,Jupiter,0.19,0.08323066,0.04,Radial Velocity
9,24 Sextantis b,235,6.4535,Gas Giant,2010,1.99,Jupiter,1.19,Jupiter,1.333,1.2396988,0.09,Radial Velocity
10,24 Sextantis c,235,6.4535,Gas Giant,2010,0.86,Jupiter,1.24,Jupiter,2.08,2.4,0.29,Radial Velocity
11,2M0437 b,419,16.186,Gas Giant,2021,4,Jupiter,1.16,Jupiter,118,3110.6,0,Direct Imaging
12,2MASS J01033563-5515561 AB b,154,15.788,Gas Giant,2013,13,Jupiter,1.1,Jupiter,84,1767.2,0,Direct Imaging
13,2MASS J01225093-2439505 b,110,14.244,Gas Giant,2013,24.5,Jupiter,1,Jupiter,52,593.2,0,Direct Imaging
14,2MASS J02192210-3925225 b,131,13.543,Gas Giant,2015,13.9,Jupiter,1.44,Jupiter,156,5878.1,0,Direct Imaging
15,2MASS J04414489+2301513 b,393,13.543,Gas Giant,2010,7.5,Jupiter,1.13,Jupiter,15,411,0,Direct Imaging
16,2MASS J12073346-3932539 b,210,20.15,Gas Giant,2004,5,Jupiter,1.15,Jupiter,55,2885.9,0,Direct Imaging
17,2MASS J19383260+4603591 b,1293,12.651,Gas Giant,2015,1.9,Jupiter,1.2,Jupiter,0.92,1.1115674,0.33,Eclipse Timing Variations
18,2MASS J22362452+4751425 b,227,12.368,Gas Giant,2016,12.5,Jupiter,1.1,Jupiter,230,4505.7,0,Direct Imaging
19,30 Arietis B b,146,7.09209,Gas Giant,2009,13.82,Jupiter,1.1,Jupiter,0.99,0.9174538,0.29,Radial Velocity
20,42 Draconis b,296,4.8262,Gas Giant,2008,3.88,Jupiter,1.16,Jupiter,1.19,1.3117043,0.38,Radial Velocity
21,47 Ursae Majoris b,45,5.03352,Gas Giant,1996,2.53,Jupiter,1.18,Jupiter,2.1,3,0.03,Radial Velocity
22,47 Ursae Majoris c,45,5.03352,Gas Giant,2001,0.54,Jupiter,1.27,Jupiter,3.6,6.6,0.1,Radial Velocity
23,47 Ursae Majoris d,45,5.03352,Gas Giant,2009,1.64,Jupiter,1.2,Jupiter,11.6,38.4,0.16,Radial Velocity
24,4 Ursae Majoris b,240,4.5801,Gas Giant,2006,7.1,Jupiter,1.13,Jupiter,0.87,0.7373032,0.43,Radial Velocity
25,51 Eridani b,97,5.21149,Gas Giant,2015,2,Jupiter,1.19,Jupiter,13.2,32,0.45,Direct Imaging
26,51 Pegasi b,50,5.45309,Gas Giant,1995,0.46,Jupiter,1.27,Jupiter,0.0527,0.011498973,0.01,Radial Velocity
27,55 Cancri b,41,5.95084,Gas Giant,1996,0.8306,Jupiter,1.24,Jupiter,0.1134,0.040246405,0,Radial Velocity
28,55 Cancri c,41,5.95084,Gas Giant,2004,0.1714,Jupiter,0.76,Jupiter,0.2373,0.12156058,0.03,Radial Velocity
29,55 Cancri d,41,5.95084,Gas Giant,2002,3.878,Jupiter,1.16,Jupiter,5.957,15.3,0.13,Radial Velocity
30,55 Cancri e,41,5.95084,Super Earth,2004,7.99,Earth,1.875,Earth,0.01544,0.0019164955,0.05,Radial Velocity
31,55 Cancri f,41,5.95084,Gas Giant,2007,0.141,Jupiter,0.677,Jupiter,0.7708,0.7115674,0.08,Radial Velocity
32,61 Virginis b,28,4.6955,Neptune-like,2009,5.1,Earth,2.11,Earth,0.050201,0.011498973,0.12,Radial Velocity
33,61 Virginis c,28,4.6955,Neptune-like,2009,18.2,Earth,0.398,Jupiter,0.2175,0.10403833,0.14,Radial Velocity
34,61 Virginis d,28,4.6955,Neptune-like,2009,22.9,Earth,0.456,Jupiter,0.476,0.33675563,0.35,Radial Velocity
35,6 Lyncis b,178,5.87307,Gas Giant,2008,2.01,Jupiter,1.19,Jupiter,2.11,2.6,0.07,Radial Velocity
36,70 Virginis b,58,4.96808,Gas Giant,1996,7.49,Jupiter,1.13,Jupiter,0.481,0.31950718,0.4,Radial Velocity
37,75 Ceti b,271,5.3532,Gas Giant,2012,3,Jupiter,1.17,Jupiter,2.1,1.9,0.12,Radial Velocity
38,7 Canis Majoris b,65,3.95,Gas Giant,2011,1.85,Jupiter,1.2,Jupiter,1.758,2,0.06,Radial Velocity
39,7 Canis Majoris c,65,3.95,Gas Giant,2019,0.87,Jupiter,1.24,Jupiter,2.153,2.7,0.08,Radial Velocity
40,81 Ceti b,330,5.64307,Gas Giant,2008,5.3,Jupiter,1.14,Jupiter,2.5,2.6,0.21,Radial Velocity
41,8 Ursae Minoris b,530,6.83295,Gas Giant,2015,1.31,Jupiter,1.22,Jupiter,0.49,0.25571528,0.06,Radial Velocity
42,91 Aquarii b,144,4.23946,Gas Giant,2013,3.2,Jupiter,1.17,Jupiter,0.7,0.4966461,0.03,Radial Velocity
43,AB Aurigae b,529,7.076,Gas Giant,2022,9,Jupiter,1.12,Jupiter,93.9,587.7,0.4,Direct Imaging
44,AB Pictoris b,163,9.13,Gas Giant,2005,13.5,Jupiter,1.1,Jupiter,260,4421.7,0,Direct Imaging
45,Alpha Arietis b,66,2.00538,Gas Giant,2010,1.8,Jupiter,1.2,Jupiter,1.2,1.0425736,0.25,Radial Velocity
46,Alpha Tauri b,67,0.872,Gas Giant,2015,6.47,Jupiter,1.13,Jupiter,1.46,1.7,0.1,Radial Velocity
47,AU Microscopii b,32,8.81,Neptune-like,2020,20.12,Earth,0.363,Jupiter,0.0645,0.023271732,0.19,Transit
48,AU Microscopii c,32,8.81,Neptune-like,2021,9.6,Earth,0.289,Jupiter,0.1101,0.051745377,0.04,Transit
49,b Centauri AB b,320,4.01,Gas Giant,2021,10.9,Jupiter,1.11,Jupiter,556,4904.1,0.4,Direct Imaging
50,BD-00 4475 b,139,9.01,Gas Giant,2021,25.05,Jupiter,1.07,Jupiter,1.48,2,0.39,Radial Velocity
51,BD+03 2562 b,3492,9.577,Gas Giant,2017,6.4,Jupiter,1.13,Jupiter,1.3,1.3193703,0.2,Radial Velocity
52,BD-06 1339 b,66,9.7,Neptune-like,2013,8.5,Earth,0.254,Jupiter,0.0428,0.010677618,0,Radial Velocity
53,BD-06 1339 c,66,9.7,Gas Giant,2013,0.17,Jupiter,0.747,Jupiter,0.435,0.34469542,0.31,Radial Velocity
54,BD-08 2823 b,135,9.86,Neptune-like,2009,12.7132,Earth,0.322,Jupiter,0.06,0.015331964,0.15,Radial Velocity
55,BD-08 2823 c,135,9.86,Gas Giant,2009,0.33,Jupiter,1.11,Jupiter,0.68,0.65051335,0.19,Radial Velocity
56,BD-10 3166 b,275,10.013,Gas Giant,2000,0.59,Jupiter,1.26,Jupiter,0.04,0.009582478,0.02,Radial Velocity
57,BD-11 4672 b,89,10.03,Gas Giant,2014,0.65,Jupiter,1.25,Jupiter,2.36,4.5,0.05,Radial Velocity
58,BD-11 4672 c,89,10.03,Neptune-like,2020,15.37,Earth,0.36,Jupiter,0.3,0.20314851,0.4,Radial Velocity
59,BD-13 2130 b,3018,10.038,Gas Giant,2007,9.78,Jupiter,1.11,Jupiter,1.66,2,0.21,Radial Velocity
60,BD+14 4559 b,161,9.78,Gas Giant,2009,1.04,Jupiter,1.23,Jupiter,0.78,0.7362081,0.29,Radial Velocity
61,BD+15 2375 b,2505,10.41,Gas Giant,2016,1.061,Jupiter,1.23,Jupiter,0.576,0.41943872,0,Radial Velocity
62,BD+15 2940 b,1391,9.01,Gas Giant,2013,1.11,Jupiter,1.23,Jupiter,0.539,0.37645447,0.26,Radial Velocity
63,BD-17 63 b,112,9.62,Gas Giant,2008,5.1,Jupiter,1.15,Jupiter,1.34,1.8,0.54,Radial Velocity
64,BD+20 2457 b,5023,9.743,Gas Giant,2009,55.59,Jupiter,1.03,Jupiter,1.05,1.0392882,0.15,Radial Velocity
65,BD+20 2457 c,5023,9.743,Gas Giant,2009,12.47,Jupiter,1.1,Jupiter,2.01,1.7,0.18,Radial Velocity
66,BD+20 274 b,4314,9.367,Gas Giant,2012,4.2,Jupiter,1.16,Jupiter,1.3,1.6,0.21,Radial Velocity
67,BD+20 594 b,585,10.849,Neptune-like,2016,22.2481,Earth,0.23,Jupiter,0.241,0.11416838,0,Transit
68,BD+45 564 b,175,9.67,Gas Giant,2021,1.36,Jupiter,1.21,Jupiter,0.83,0.84298426,0.12,Radial Velocity
69,BD+48 738 b,2843,9.139,Gas Giant,2011,0.91,Jupiter,1.24,Jupiter,1,1.0748802,0.2,Radial Velocity
70,BD+48 740 b,2174,8.69,Gas Giant,2018,1.7,Jupiter,1.2,Jupiter,1.7,2,0.76,Radial Velocity
71,BD+49 828 b,1442,9.381,Gas Giant,2015,1.6,Jupiter,1.21,Jupiter,4.2,7.1,0.35,Radial Velocity
72,BD+55 362 b,171,9.38,Gas Giant,2021,0.72,Jupiter,1.25,Jupiter,0.78,0.7271732,0.27,Radial Velocity
73,BD+60 1417 b,147,9.374,Gas Giant,2021,15,Jupiter,1.31,Jupiter,1662,67794.6,0,Direct Imaging
74,BD+63 1405 b,124,8.96,Gas Giant,2021,3.96,Jupiter,1.16,Jupiter,2.06,3.3,0.88,Radial Velocity
75,Beta Cancri b,290,3.51012,Gas Giant,2014,7.8,Jupiter,1.12,Jupiter,1.7,1.7,0.08,Radial Velocity
76,Beta Pictoris b,64,3.85,Gas Giant,2008,11.73313,Jupiter,1.65,Jupiter,10.019926,23.6,0.11,Direct Imaging
77,Beta Pictoris c,64,3.85,Gas Giant,2019,10.14112,Jupiter,1.11,Jupiter,2.680483,3.3,0.31,Radial Velocity
78,Beta Ursae Minoris b,126,2.0569,Gas Giant,2014,6.1,Jupiter,1.14,Jupiter,1.4,1.4,0.19,Radial Velocity
79,CD Ceti b,28,13.95,Super Earth,2020,3.95,Earth,1.82,Earth,0.0185,0.0062970566,0,Radial Velocity
80,CFBDSIR J145829+101343 b,75,13.543,Gas Giant,2011,10.5,Jupiter,1.11,Jupiter,2.6,27.5,0,Direct Imaging
81,CFHTWIR-Oph 98 b,1371,13.543,Gas Giant,2021,7.8,Jupiter,1.86,Jupiter,200,22027.4,0,Direct Imaging
82,CHXR 73 b,621,13.543,Gas Giant,2006,12.569,Jupiter,1.1,Jupiter,210,5146.9,0,Direct Imaging
83,CI Tauri b,515,13.642,Gas Giant,2019,11.6,Jupiter,1.11,Jupiter,0.1028,0.024640657,0.25,Radial Velocity
84,COCONUTS-2 b,36,11.298,Gas Giant,2021,6.3,Jupiter,1.11,Jupiter,7506,1101369.9,0,Direct Imaging
85,CoRoT-10 b,1104,15.293,Gas Giant,2010,2.75,Jupiter,0.97,Jupiter,0.1055,0.03613963,0.53,Transit
86,CoRoT-11 b,2137,12.897,Gas Giant,2010,2.33,Jupiter,1.43,Jupiter,0.0436,0.008213553,0,Transit
87,CoRoT-12 b,3674,15.588,Gas Giant,2010,0.917,Jupiter,1.44,Jupiter,0.04016,0.007665982,0.07,Transit
88,CoRoT-13 b,3748,15.005,Gas Giant,2010,1.308,Jupiter,0.885,Jupiter,0.051,0.0109514035,0,Transit
89,CoRoT-14 b,5691,15.932,Gas Giant,2010,7.6,Jupiter,1.09,Jupiter,0.027,0.0041067763,0,Transit
90,CoRoT-16 b,2389,16.052,Gas Giant,2011,0.535,Jupiter,1.17,Jupiter,0.0618,0.014784395,0.33,Transit
91,CoRoT-17 b,3837,16.29,Gas Giant,2011,2.43,Jupiter,1.02,Jupiter,0.0461,0.010403832,0,Transit
92,CoRoT-18 b,2495,14.868,Gas Giant,2011,3.47,Jupiter,1.31,Jupiter,0.0295,0.005201916,0.08,Transit
93,CoRoT-19 b,2579,14.135,Gas Giant,2011,1.11,Jupiter,1.29,Jupiter,0.0518,0.010677618,0.05,Transit
94,CoRoT-1 b,2570,13.623,Gas Giant,2008,1.03,Jupiter,1.49,Jupiter,0.02752,0.0041067763,0,Transit
95,CoRoT-20 b,2753,14.63,Gas Giant,2011,4.3,Jupiter,0.84,Jupiter,0.09,0.025188226,0.59,Transit
96,CoRoT-20 c,2753,14.63,Gas Giant,2018,17,Jupiter,1.09,Jupiter,2.9,4.6,0.6,Radial Velocity
97,CoRoT-21 b,4563,16.058,Gas Giant,2012,2.26,Jupiter,1.3,Jupiter,0.0417,0.0073921974,0,Transit
98,CoRoT-22 b,2046,13.82,Neptune-like,2014,12.2,Earth,0.435,Jupiter,0.092,0.026830938,0.08,Transit
99,CoRoT-23 b,3461,15.675,Gas Giant,2011,2.8,Jupiter,1.05,Jupiter,0.048,0.009856262,0.16,Transit
100,CoRoT-24 b,1930,15.383,Neptune-like,2014,5.7,Earth,0.33,Jupiter,0.056,0.013963039,0,Transit
101,CoRoT-24 c,1930,15.383,Neptune-like,2014,28,Earth,0.44,Jupiter,0.098,0.03230664,0,Transit
102,CoRoT-25 b,3600,14.79,Gas Giant,2013,0.27,Jupiter,1.08,Jupiter,0.0578,0.013415469,0,Transit
103,CoRoT-26 b,3409,15.861,Gas Giant,2013,0.52,Jupiter,1.26,Jupiter,0.0526,0.011498973,0,Transit
104,CoRoT-27 b,3296,15.774,Gas Giant,2014,10.39,Jupiter,1.007,Jupiter,0.0476,0.009856262,0.065,Transit
105,CoRoT-28 b,2499,13.783,Gas Giant,2015,0.484,Jupiter,0.955,Jupiter,0.0603,0.014236824,0.05,Transit
106,CoRoT-29 b,2631,15.408,Gas Giant,2015,0.85,Jupiter,0.9,Jupiter,0.0386,0.007939767,0.08,Transit
107,CoRoT-2 b,696,12.516,Gas Giant,2008,3.47,Jupiter,1.466,Jupiter,0.02798,0.0046543465,0.01,Transit
108,CoRoT-30 b,3367,15.571,Gas Giant,2020,2.9,Jupiter,1.009,Jupiter,0.0844,0.024914443,0.01,Transit
109,CoRoT-31 b,6543,15.479,Gas Giant,2020,0.84,Jupiter,1.46,Jupiter,0.0586,0.012594113,0.02,Transit
110,CoRoT-35 b,3664,15.635,Gas Giant,2022,1.1,Jupiter,1.68,Jupiter,0.0429,0.008761123,0,Transit
111,CoRoT-36 b,3020,13.126,Gas Giant,2022,0.68,Jupiter,1.41,Jupiter,0.066,0.015331964,0,Transit
112,CoRoT-3 b,2508,13.448,Gas Giant,2008,21.66,Jupiter,1.01,Jupiter,0.05783,0.011772759,0,Transit
113,CoRoT-4 b,2370,13.652,Gas Giant,2008,0.72,Jupiter,1.19,Jupiter,0.09,0.025188226,0,Transit
114,CoRoT-5 b,2879,14.043,Gas Giant,2009,0.467,Jupiter,1.388,Jupiter,0.04947,0.0109514035,0.09,Transit
115,CoRoT-6 b,2105,13.961,Gas Giant,2009,2.96,Jupiter,1.166,Jupiter,0.0855,0.02436687,0.1,Transit
116,CoRoT-7 b,522,11.728,Super Earth,2009,4.07661,Earth,1.681,Earth,0.017016,0.0024640656,0,Transit
117,CoRoT-7 c,522,11.728,Neptune-like,2009,8.4,Earth,0.253,Jupiter,0.046,0.010130048,0,Radial Velocity
118,CoRoT-7 d,522,11.728,Neptune-like,2022,17.142,Earth,0.384,Jupiter,0.1028,0.024640657,0,Radial Velocity
119,CoRoT-8 b,1050,14.792,Gas Giant,2010,0.22,Jupiter,0.57,Jupiter,0.063,0.016974675,0,Transit
120,CoRoT-9 b,1347,13.637,Gas Giant,2009,0.84,Jupiter,1.066,Jupiter,0.4021,0.2609172,0.13,Transit
121,CoRoTID 223977153 b,1881,13.626,Gas Giant,2017,0.15,Jupiter,0.57,Jupiter,0.071,0.0183436,0,Transit
122,CT Chamaleontis b,622,12.335,Gas Giant,2007,17,Jupiter,2.2,Jupiter,440,0.99931556,0,Direct Imaging
123,DE Canum Venaticorum b,100,12.956,Gas Giant,2018,12.0293,Jupiter,1.1,Jupiter,5.75,11.2,0,Eclipse Timing Variations
124,DENIS-P J082303.1-491201 b,68,13.543,Gas Giant,2013,28.5,Jupiter,1.06,Jupiter,0.36,0.67460644,0.35,Astrometry
125,DH Tauri b,440,13.98,Gas Giant,2004,11,Jupiter,2.7,Jupiter,330,10441.5,0,Direct Imaging
126,DMPP-1 b,204,7.98,Neptune-like,2019,24.27,Earth,0.472,Jupiter,0.1462,0.050924025,0.083,Radial Velocity
127,DMPP-1 c,204,7.98,Neptune-like,2019,9.6,Earth,0.273,Jupiter,0.0733,0.018069815,0.057,Radial Velocity
128,DMPP-1 d,204,7.98,Super Earth,2019,3.35,Earth,1.65,Earth,0.0422,0.007939767,0.07,Radial Velocity
129,DMPP-1 e,204,7.98,Super Earth,2019,4.13,Earth,1.86,Earth,0.0651,0.015058179,0.07,Radial Velocity
130,DMPP-2 b,450,8.57,Gas Giant,2019,0.437,Jupiter,1.28,Jupiter,0.0664,0.014236824,0.08,Radial Velocity
131,DMPP-3 A b,148,9.066,Super Earth,2019,2.58,Earth,1.41,Earth,0.0662,0.0183436,0.14,Radial Velocity
132,DP Leonis b,997,18.6837,Gas Giant,2009,6.28,Jupiter,1.14,Jupiter,8.19,28,0.39,Eclipse Timing Variations
133,DS Tucanae A b,144,8.17,Neptune-like,2019,1.3,Jupiter,0.509,Jupiter,0.1028,0.022176592,0,Transit
134,EPIC 201170410.02,437,17.6984,Super Earth,2020,1.15,Earth,1.047,Earth,0.0349,0.018617386,0,Transit
135,EPIC 201238110 b,520,16.014,Super Earth,2019,4.16,Earth,1.87,Earth,0.1028,0.077207394,0,Transit
136,EPIC 201427007 b,2304,14.321,Super Earth,2021,2.86,Earth,1.5,Earth,0.1028,0.0019164955,0,Transit
137,EPIC 201497682 b,825,13.948,Terrestrial,2019,0.26,Earth,0.692,Earth,0.1028,0.0057494864,0,Transit
138,EPIC 201595106 b,757,11.746,Super Earth,2021,2.24,Earth,1.3,Earth,0.1028,0.0024640656,0,Transit
139,EPIC 201615463 c,1556,12.081,Super Earth,2019,1.98,Earth,1.22,Earth,0.1028,0.010403832,0,Transit
140,EPIC 201754305 d,1093,14.668,Super Earth,2019,1.08,Earth,1.03,Earth,0.1028,0.0073921974,0,Transit
141,EPIC 201757695.02,1884,14.974,Terrestrial,2020,0.688,Earth,0.908,Earth,0.0296,0.0054757018,0,Transit
142,EPIC 201833600 c,840,14.705,Terrestrial,2019,0.972,Earth,1,Earth,0.1028,0.0109514035,0,Transit
143,EPIC 201841433 b,1424,14.983,Super Earth,2019,1.12,Earth,1.04,Earth,0.035,0.011498973,0,Transit
144,EPIC 205950854 c,796,12.365,Super Earth,2019,2.27,Earth,1.31,Earth,0.1028,0.022176592,0,Transit
145,EPIC 206024342 b,1207,13.096,Super Earth,2019,3.53,Earth,1.7,Earth,0.1028,0.0123203285,0,Transit
146,EPIC 206024342 c,1207,13.096,Super Earth,2021,2.54,Earth,1.4,Earth,0.1028,0.0024640656,0,Transit
147,EPIC 206024342 d,1207,13.096,Neptune-like,2021,7.27,Earth,0.232,Jupiter,0.1028,0.039972622,0,Transit
148,EPIC 206032309 b,526,17.89,Super Earth,2019,1.01,Earth,1.01,Earth,0.1028,0.007939767,0,Transit
149,EPIC 206042996 b,1474,16.59,Super Earth,2019,3.53,Earth,1.7,Earth,0.1028,0.01451061,0,Transit
150,EPIC 206042996 c,1474,16.59,Super Earth,2021,1.87,Earth,1.2,Earth,0.1028,0.0010951404,0,Transit
151,EPIC 206215704 b,358,17.83,Terrestrial,2019,0.972,Earth,1,Earth,0.1028,0.0062970566,0,Transit
152,EPIC 206317286 b,1025,14.005,Terrestrial,2019,0.84,Earth,0.96,Earth,0.1028,0.0043805614,0,Transit
153,EPIC 206317286 c,1025,14.005,Super Earth,2022,5.03,Earth,2.094,Earth,0.1028,0.04791239,0,Transit
154,EPIC 211822797 b,607,15.133,Super Earth,2016,4.35,Earth,1.92,Earth,0.1195,0.05804244,0.06,Transit
155,EPIC 211945201 b,593,10.154,Neptune-like,2018,27,Earth,0.514,Jupiter,0.1493,0.05338809,0,Transit
156,EPIC 212297394 b,1365,14.611,Super Earth,2019,2.79,Earth,1.48,Earth,0.1028,0.0062970566,0,Transit
157,EPIC 212297394 c,1365,14.611,Neptune-like,2016,5.77,Earth,0.203,Jupiter,0.1028,0.014236824,0,Transit
158,EPIC 212424622 b,1996,13.441,Neptune-like,2019,5.35,Earth,2.17,Earth,0.1028,0.0495551,0,Transit
159,EPIC 212499991 b,924,13.672,Super Earth,2019,3.19,Earth,1.6,Earth,0.1028,0.095551,0,Transit
160,EPIC 212587672 b,1044,12.488,Super Earth,2019,2.13,Earth,1.26,Earth,0.1028,0.041889116,0,Transit
161,EPIC 212587672 c,1044,12.488,Neptune-like,2016,5.99,Earth,0.207,Jupiter,0.1028,0.06351814,0,Transit
162,EPIC 212624936 b,1833,13.976,Super Earth,2021,1.87,Earth,1.2,Earth,0.1028,0.0016427105,0,Transit
163,EPIC 212624936 c,1833,13.976,Neptune-like,2021,5.9,Earth,0.205,Jupiter,0.1028,0.03230664,0,Transit
164,EPIC 212737443 b,1097,14.81,Neptune-like,2019,7.2,Earth,0.231,Jupiter,0.098,0.037234772,0.2,Transit
165,EPIC 212737443 c,1097,14.81,Neptune-like,2019,7.7,Earth,0.24,Jupiter,0.28,0.17960301,0.2,Transit
166,EPIC 220492298 b,2037,13.991,Terrestrial,2021,0.937,Earth,0.99,Earth,0.1028,0.0021902807,0,Transit
167,EPIC 220554210 c,1619,14.21,Super Earth,2019,3.19,Earth,1.6,Earth,0.1028,0.0019164955,0,Transit
168,EPIC 220674823 b,798,12.101,Super Earth,2016,7.72,Earth,1.6,Earth,0.01312,0.0016427105,0,Transit
169,EPIC 220674823 c,798,12.101,Neptune-like,2016,5.8,Earth,2.2,Earth,0.1091,0.036413416,0.18,Transit
170,EPIC 228836835 b,490,16.77,Super Earth,2021,1.37,Earth,1.1,Earth,0.1028,0.0019164955,0,Transit
171,EPIC 246851721 b,1216,11.237,Gas Giant,2018,3,Jupiter,1.051,Jupiter,0.07229,0.016974675,0,Transit
172,EPIC 248847494 b,1800,12.353,Gas Giant,2018,13,Jupiter,1.11,Jupiter,4.5,10,0,Transit
173,EPIC 249893012 b,1048,11.429,Super Earth,2020,8.75,Earth,1.95,Earth,0.047,0.009856262,0.06,Transit
174,EPIC 249893012 c,1048,11.429,Neptune-like,2020,14.67,Earth,0.327,Jupiter,0.13,0.042710472,0.07,Transit
175,EPIC 249893012 d,1048,11.429,Neptune-like,2020,10.18,Earth,0.352,Jupiter,0.22,0.097741276,0.15,Transit
176,Epsilon Coronae Borealis b,228,4.12577,Gas Giant,2012,6.7,Jupiter,1.13,Jupiter,1.3,1.1441479,0.11,Radial Velocity
177,Epsilon Eridani b,10,3.71548,Gas Giant,2000,0.66,Jupiter,1.25,Jupiter,3.53,7.3,0.07,Radial Velocity
178,Epsilon Indi A b,12,4.69,Gas Giant,2019,3.25,Jupiter,1.17,Jupiter,11.55,45.2,0.26,Radial Velocity
179,Epsilon Tauri b,155,3.523,Gas Giant,2006,7.6,Jupiter,1.13,Jupiter,1.93,1.6,0.15,Radial Velocity
180,FU Tauri b,435,13.543,Gas Giant,2008,16,Jupiter,1.09,Jupiter,800,101250.8,0,Direct Imaging
181,G 264-012 b,52,13.078,Super Earth,2021,2.5,Earth,1.39,Earth,0.02279,0.0062970566,0,Radial Velocity
182,G 264-012 c,52,13.078,Super Earth,2021,3.75,Earth,1.76,Earth,0.0525,0.022176592,0,Radial Velocity
183,G 9-40 b,91,13.821,Super Earth,2019,4.76,Earth,2.025,Earth,0.0385,0.015605749,0,Transit
184,Gaia-1 b,1186,13.242,Gas Giant,2022,1.68,Jupiter,1.229,Jupiter,0.04047,0.008487337,0,Transit
185,Gaia-2 b,683,11.277,Gas Giant,2022,0.817,Jupiter,1.322,Jupiter,0.0467,0.010130048,0,Transit
186,gam1 Leonis b,130,1.99509,Gas Giant,2009,8.78,Jupiter,1.12,Jupiter,1.19,1.173169,0.14,Radial Velocity
187,Gamma Cephei b,46,3.23006,Gas Giant,2003,9.4,Jupiter,1.12,Jupiter,2.05,2.5,0.05,Radial Velocity
188,Gamma Librae b,155,3.90672,Gas Giant,2018,1.02,Jupiter,1.23,Jupiter,1.24,1.1367557,0.21,Radial Velocity
189,Gamma Librae c,155,3.90672,Gas Giant,2018,4.58,Jupiter,1.15,Jupiter,2.17,2.6,0.06,Radial Velocity
190,Gamma Piscium b,135,3.69252,Gas Giant,2021,1.34,Jupiter,1.22,Jupiter,1.32,1.5,0.2,Radial Velocity
191,GJ 1002 b,16,13.76,Super Earth,2022,1.08,Earth,1.03,Earth,0.0457,0.028199865,0,Radial Velocity
192,GJ 1002 c,16,13.76,Super Earth,2022,1.36,Earth,1.1,Earth,0.0738,0.05804244,0,Radial Velocity
193,GJ 1061 b,12,12.7,Super Earth,2020,1.37,Earth,1.1,Earth,0.021,0.008761123,0.31,Radial Velocity
194,GJ 1061 c,12,12.7,Super Earth,2020,1.74,Earth,1.18,Earth,0.035,0.0183436,0.29,Radial Velocity
195,GJ 1061 d,12,12.7,Super Earth,2020,1.64,Earth,1.16,Earth,0.054,0.03559206,0.53,Radial Velocity
196,GJ 1132 b,41,13.68,Super Earth,2015,1.66,Earth,1.13,Earth,0.0153,0.0043805614,0.22,Transit
197,GJ 1132 c,41,13.68,Super Earth,2018,2.64,Earth,1.43,Earth,0.0476,0.02436687,0.27,Radial Velocity
198,GJ 1148 b,36,11.939,Gas Giant,2010,0.30425,Jupiter,1.07,Jupiter,0.166,0.113347024,0.38,Radial Velocity
199,GJ 1148 c,36,11.939,Gas Giant,2017,0.21414,Jupiter,0.866,Jupiter,0.912,1.5,0.34,Radial Velocity
200,GJ 1151 c,26,13.76,Neptune-like,2023,10.62,Earth,0.29,Jupiter,0.5714,1.0669404,0,Radial Velocity
201,GJ 1214 b,48,15.1,Neptune-like,2009,8.17,Earth,0.245,Jupiter,0.0149,0.0043805614,0.063,Transit
202,GJ 1252 b,66,12.68,Super Earth,2020,1.32,Earth,1.18,Earth,0.00915,0.0013689254,0,Transit
203,GJ 1265 b,33,14.01,Neptune-like,2018,7.4,Earth,0.234,Jupiter,0.026,0.010130048,0.04,Radial Velocity
204,GJ 143 b,53,8.08,Neptune-like,2019,22.7,Earth,0.233,Jupiter,0.1915,0.09746748,0.19,Transit
205,GJ 15 A b,12,8.09,Super Earth,2014,3.03,Earth,1.55,Earth,0.072,0.031211497,0.09,Radial Velocity
206,GJ 15 A c,12,8.09,Neptune-like,2018,36,Earth,0.595,Jupiter,5.4,20.8,0.27,Radial Velocity
207,GJ 160.2 b,84,9.7,Neptune-like,2014,10.2,Earth,0.283,Jupiter,0.053,0.014236824,0.06,Radial Velocity
208,GJ 163 b,49,11.79,Neptune-like,2013,10.6,Earth,0.29,Jupiter,0.0607,0.023545519,0.07,Radial Velocity
