id,name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
797,HD 192310 b,29,5.73,Neptune-like,2011,16.9,Earth,0.381,Jupiter,0.32,0.20451744,0.13,Radial Velocity
798,HD 192310 c,29,5.73,Neptune-like,2011,24,Earth,0.469,Jupiter,1.18,1.4,0.32,Radial Velocity
799,HD 192699 b,234,6.45591,Gas Giant,2007,2.096,Jupiter,1.19,Jupiter,1.063,0.93333334,0.08,Radial Velocity
800,HD 194490 b,262,8.99,Gas Giant,2022,11.26401,Jupiter,1.11,Jupiter,11.043187,35.9,0.25,Radial Velocity
801,HD 195019 b,123,6.87591,Gas Giant,1998,3.98,Jupiter,1.16,Jupiter,0.14,0.049828887,0.01,Radial Velocity
802,HD 196050 b,165,7.5,Gas Giant,2002,3.18,Jupiter,1.17,Jupiter,2.51,3.8,0.23,Radial Velocity
803,HD 196067 b,130,6.51,Gas Giant,2012,12.5,Jupiter,1.1,Jupiter,5.02,10,0.66,Radial Velocity
804,HD 19615 b,865,6.55594,Gas Giant,2022,8.5,Jupiter,1.12,Jupiter,1.1,1.100616,0.2,Radial Velocity
805,HD 196885 A b,111,6.39677,Gas Giant,2007,2.58,Jupiter,1.18,Jupiter,2.37,3.7,0.48,Radial Velocity
806,HD 197037 b,108,6.82294,Gas Giant,2012,0.79,Jupiter,1.24,Jupiter,2.07,2.8,0.22,Radial Velocity
807,HD 199509 b,79,6.98,Gas Giant,2022,0.13487,Jupiter,0.66,Jupiter,0.425988,0.27268994,0.37,Radial Velocity
808,HD 19994 b,73,5.06345,Gas Giant,2003,1.37,Jupiter,1.21,Jupiter,1.305,1.276386,0.06,Radial Velocity
809,HD 20003 b,136,8.39,Neptune-like,2019,11.66,Earth,0.306,Jupiter,0.0974,0.03230664,0.36,Radial Velocity
810,HD 20003 c,136,8.39,Neptune-like,2019,14.44,Earth,0.347,Jupiter,0.1964,0.09281315,0.1,Radial Velocity
811,HD 200964 b,237,6.48605,Gas Giant,2010,1.599,Jupiter,1.21,Jupiter,1.565,1.7,0.09,Radial Velocity
812,HD 200964 c,237,6.48605,Gas Giant,2010,1.214,Jupiter,1.22,Jupiter,1.96,2.3,0.24,Radial Velocity
813,HD 202206 c,150,8.08,Gas Giant,2004,17.9,Jupiter,1.08,Jupiter,2.41,3.5,0.22,Radial Velocity
814,HD 202696 b,615,8.23,Gas Giant,2019,1.996,Jupiter,1.12,Jupiter,1.566,1.4,0.01,Radial Velocity
815,HD 202696 c,615,8.23,Gas Giant,2019,1.864,Jupiter,1.12,Jupiter,2.342,2.6,0.03,Radial Velocity
816,HD 202772 A b,527,8.324,Gas Giant,2019,1.017,Jupiter,1.545,Jupiter,0.05208,0.009034907,0.04,Transit
817,HD 203030 b,128,8.45,Gas Giant,2006,11,Jupiter,1.29,Jupiter,487.1,11094.6,0,Direct Imaging
818,HD 20329 b,208,8.76,Super Earth,2022,7.42,Earth,1.72,Earth,0.018,0.0024640656,0,Transit
819,HD 203387 b,201,4.28,Gas Giant,2022,3.494,Jupiter,1.17,Jupiter,1.768964,1.4,0.73,Radial Velocity
820,HD 203387 c,201,4.28,Gas Giant,2022,7.47507,Jupiter,1.13,Jupiter,5.068253,6.8,0.2,Radial Velocity
821,HD 203473 b,237,8.23,Gas Giant,2018,7.8,Jupiter,1.12,Jupiter,2.73,4.3,0.29,Radial Velocity
822,HD 2039 b,280,9,Gas Giant,2002,6.29,Jupiter,1.14,Jupiter,2.2,3.1,0.71,Radial Velocity
823,HD 204313 b,156,7.99,Gas Giant,2010,4.88801,Jupiter,1.15,Jupiter,3.183074,5.6,0.1,Radial Velocity
824,HD 204313 c,156,7.99,Neptune-like,2015,17.20043,Earth,0.385,Jupiter,0.211213,0.09582478,0.06,Radial Velocity
825,HD 204313 e,156,7.99,Gas Giant,2022,15.23151,Jupiter,1.09,Jupiter,7.444845,20.1,0.25,Radial Velocity
826,HD 204941 b,94,8.45,Gas Giant,2011,0.23,Jupiter,0.903,Jupiter,2.55,4.7,0.37,Radial Velocity
827,HD 205158 b,283,7.84,Gas Giant,2022,0.38835,Jupiter,1.23,Jupiter,0.177326,0.06926762,0.15,Radial Velocity
828,HD 205739 b,302,8.56,Gas Giant,2008,1.37,Jupiter,1.21,Jupiter,0.896,0.76605064,0.27,Radial Velocity
829,HD 206255 b,245,7.62,Neptune-like,2019,34.2,Earth,0.577,Jupiter,0.461,0.26283368,0.23,Radial Velocity
830,HD 206610 b,480,8.34,Gas Giant,2009,2.036,Jupiter,1.19,Jupiter,1.74,1.8,0.1,Radial Velocity
831,HD 206893 b,133,6.68804,Gas Giant,2021,28,Jupiter,1.25,Jupiter,9.6,25.6,0.14,Direct Imaging
832,HD 206893 c,133,6.68804,Gas Giant,2022,12.7,Jupiter,1.46,Jupiter,3.53,5.7,0.41,Direct Imaging
833,HD 20781 b,117,8.48,Super Earth,2019,1.93,Earth,1.21,Earth,0.0529,0.01451061,0.1,Radial Velocity
834,HD 20781 c,117,8.48,Neptune-like,2019,5.33,Earth,2.17,Earth,0.1004,0.038056124,0.09,Radial Velocity
835,HD 20781 d,117,8.48,Neptune-like,2019,10.61,Earth,0.29,Jupiter,0.1647,0.079945244,0.11,Radial Velocity
836,HD 20781 e,117,8.48,Neptune-like,2019,14.03,Earth,0.342,Jupiter,0.3374,0.23408625,0.06,Radial Velocity
837,HD 20782 b,117,7.36,Gas Giant,2006,1.4878,Jupiter,1.21,Jupiter,1.3649,1.6,0.95,Radial Velocity
838,HD 207832 b,192,8.78,Gas Giant,2012,0.56,Jupiter,1.26,Jupiter,0.586,0.43832994,0.2,Radial Velocity
839,HD 207832 c,192,8.78,Gas Giant,2012,0.73,Jupiter,1.25,Jupiter,2.112,3.2,0.27,Radial Velocity
840,HD 207897 b,92,8.37,Super Earth,2021,14.4,Earth,0.223,Jupiter,0.1163,0.044353183,0.05,Transit
841,HD 20794 b,20,4.26,Super Earth,2011,2.7,Earth,1.45,Earth,0.1207,0.050102666,0,Radial Velocity
842,HD 20794 c,20,4.26,Super Earth,2011,2.4,Earth,1.35,Earth,0.2036,0.109787814,0,Radial Velocity
843,HD 20794 d,20,4.26,Super Earth,2011,4.8,Earth,2.04,Earth,0.3499,0.24722794,0,Radial Velocity
844,HD 20794 e,20,4.26,Super Earth,2017,4.77,Earth,2.03,Earth,0.509,0.40246406,0.29,Radial Velocity
845,HD 208487 b,147,7.47,Gas Giant,2004,0.52,Jupiter,1.27,Jupiter,0.524,0.3561944,0.24,Radial Velocity
846,HD 208527 b,1018,6.38984,Gas Giant,2012,9.9,Jupiter,1.11,Jupiter,2.1,2.4,0.08,Radial Velocity
